id,created_at,api_key_id,user_agent,method,endpoint,response_status
664431e1-fcb8-4ffd-8419-0f52d8696095,2026-06-08 04:25:15.08432+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
b371966d-0836-4e5e-b0b3-17a49d310adc,2026-06-08 04:26:46.488427+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
75e13934-bde2-47ca-a01c-9a3cd6ecbd71,2026-06-12 00:08:24.422366+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
77a6f62d-5c71-43af-850c-81355d629a38,2026-06-12 00:09:36.443878+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
276d4e52-fc84-4e09-a92b-81db5e7db35e,2026-06-12 07:04:47.801236+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
88a1511f-a077-4af0-beda-d016e748165c,2026-06-12 07:19:52.710855+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
a53e2d29-006a-47d7-b787-52e2f84f9249,2026-06-12 16:11:50.561779+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
e8a8ae46-d114-4230-b46f-6013e16b174a,2026-06-12 16:16:28.538777+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
a52ccd0b-80d0-4b18-93d7-9f9a3d89bf4c,2026-06-13 01:11:27.100017+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
ecdefa4c-7632-4d4b-bc8b-f1acd3edec08,2026-06-13 01:12:26.213439+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
8510adaf-b410-4d78-a44c-01cd576cf272,2026-06-13 01:24:36.936914+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
1da063b4-3da0-43bc-aad1-2d13ed58a6e2,2026-06-13 01:28:18.657944+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
cad6768d-01fc-479a-9ad1-22a6ba4212d0,2026-06-13 01:41:26.941085+00,73db8857-76db-4261-80cc-205d714ba061,resend-node:6.12.4,POST,/emails,403
